,key,data
0,jump,"[5, 8, 10, 12]"
1,whisper,"[3, 7, 9]"
2,dance,"[2, 4, 6, 8, 10]"
3,explore,"[1, 3, 5, 7]"
4,create,"[4, 6, 9, 11]"
5,laugh,"[2, 5, 8]"
6,discover,"[1, 3, 6, 9, 12]"
7,run,"[4, 7, 10]"
8,sing,"[3, 6, 9, 12]"
9,dream,"[2, 5, 8, 11]"
10,paint,"[3, 6, 9]"
11,climb,"[2, 5, 8, 11]"
12,whirl,"[4, 7, 10, 13]"
13,meditate,"[1, 4, 7, 10, 13]"
14,navigate,"[3, 6, 9, 12]"
15,compose,"[2, 5, 8]"
16,rejoice,"[4, 7, 10]"
17,shimmer,"[1, 3, 5, 7, 9]"
18,journey,"[2, 4, 6, 8, 10]"
19,sparkle,"[5, 8, 11]"
